11:17:13: INFO: <module>: for iteration:1:number of inputs:10
11:17:21: INFO: test_env: for original code input:<!DOCTYPE html><body><br><br><br>o</body>:original code output:['<br><br><br>o', '441\r\n']
11:36:22: INFO: test_env: for original code input:<!DOCTYPE html><body><br>r</body>:original code output:['<br>r', '440\r\n']
11:36:22: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>r</body>:mutated code output:['<br>r', '434\n']
11:36:23: INFO: test_env: for original code input:<!DOCTYPE html><body>gZe</body>:original code output:['gZe', '437\r\n']
11:36:23: INFO: test_env: For mutated code input:<!DOCTYPE html><body>gZe</body>:mutated code output:['gZe', '431\n']
11:36:25: INFO: test_env: for original code input:<!DOCTYPE html><body>66</body>:original code output:['66', '437\r\n']
11:36:25: INFO: test_env: For mutated code input:<!DOCTYPE html><body>66</body>:mutated code output:['66', '431\n']
11:36:26: INFO: test_env: for original code input:<!DOCTYPE html><body><br>r</body>:original code output:['<br>r', '440\r\n']
11:36:26: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>r</body>:mutated code output:['<br>r', '434\n']
11:36:26: INFO: test_env: for original code input:<!DOCTYPE html><body>gZe</body>:original code output:['gZe', '437\r\n']
11:36:26: INFO: test_env: For mutated code input:<!DOCTYPE html><body>gZe</body>:mutated code output:['gZe', '431\n']
11:36:27: INFO: test_env: for original code input:<!DOCTYPE html><body>vve</body>:original code output:['vve', '437\r\n']
11:36:27: INFO: test_env: For mutated code input:<!DOCTYPE html><body>vve</body>:mutated code output:['vve', '431\n']
11:36:29: INFO: test_env: for original code input:<!DOCTYPE html><body><br>r</body>:original code output:['<br>r', '440\r\n']
11:36:29: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>r</body>:mutated code output:['<br>r', '434\n']
11:36:30: INFO: test_env: for original code input:<!DOCTYPE html><body>gZe</body>:original code output:['gZe', '437\r\n']
11:36:30: INFO: test_env: For mutated code input:<!DOCTYPE html><body>gZe</body>:mutated code output:['gZe', '431\n']
11:36:30: INFO: test_env: for original code input:<!DOCTYPE html><body>vve</body>:original code output:['vve', '437\r\n']
11:36:30: INFO: test_env: For mutated code input:<!DOCTYPE html><body>vve</body>:mutated code output:['vve', '431\n']
11:36:31: INFO: test_env: for original code input:<!DOCTYPE html><body>Pg</body>:original code output:['Pg', '437\r\n']
11:36:31: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Pg</body>:mutated code output:['Pg', '431\n']
11:36:33: INFO: test_env: for original code input:<!DOCTYPE html><body>gZe</body>:original code output:['gZe', '437\r\n']
11:36:33: INFO: test_env: For mutated code input:<!DOCTYPE html><body>gZe</body>:mutated code output:['gZe', '431\n']
11:36:34: INFO: test_env: for original code input:<!DOCTYPE html><body>vve</body>:original code output:['vve', '437\r\n']
11:36:34: INFO: test_env: For mutated code input:<!DOCTYPE html><body>vve</body>:mutated code output:['vve', '431\n']
11:36:34: INFO: test_env: for original code input:<!DOCTYPE html><body>Pg</body>:original code output:['Pg', '437\r\n']
11:36:34: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Pg</body>:mutated code output:['Pg', '431\n']
11:36:35: INFO: test_env: for original code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:original code output:['<body><style>nowvwovV5Eg</style>5', '486\r\n']
11:36:35: INFO: test_env: For mutated code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:mutated code output:['<body><style>nowvwovV5Eg</style>5', '480\n']
11:36:37: INFO: test_env: for original code input:<!DOCTYPE html><body>vve</body>:original code output:['vve', '437\r\n']
11:36:37: INFO: test_env: For mutated code input:<!DOCTYPE html><body>vve</body>:mutated code output:['vve', '431\n']
11:36:38: INFO: test_env: for original code input:<!DOCTYPE html><body>Pg</body>:original code output:['Pg', '437\r\n']
11:36:38: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Pg</body>:mutated code output:['Pg', '431\n']
11:36:38: INFO: test_env: for original code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:original code output:['<body><style>nowvwovV5Eg</style>5', '486\r\n']
11:36:38: INFO: test_env: For mutated code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:mutated code output:['<body><style>nowvwovV5Eg</style>5', '480\n']
11:36:39: INFO: test_env: for original code input:<!DOCTYPE html><body>e<br>ZT</body>:original code output:['e<br>ZT', '448\r\n']
11:36:39: INFO: test_env: For mutated code input:<!DOCTYPE html><body>e<br>ZT</body>:mutated code output:['e<br>ZT', '442\n']
11:36:40: INFO: test_env: for original code input:<!DOCTYPE html><body>Pg</body>:original code output:['Pg', '437\r\n']
11:36:40: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Pg</body>:mutated code output:['Pg', '431\n']
11:36:41: INFO: test_env: for original code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:original code output:['<body><style>nowvwovV5Eg</style>5', '486\r\n']
11:36:41: INFO: test_env: For mutated code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:mutated code output:['<body><style>nowvwovV5Eg</style>5', '480\n']
11:36:41: INFO: test_env: for original code input:<!DOCTYPE html><body>e<br>ZT</body>:original code output:['e<br>ZT', '448\r\n']
11:36:41: INFO: test_env: For mutated code input:<!DOCTYPE html><body>e<br>ZT</body>:mutated code output:['e<br>ZT', '442\n']
11:36:42: INFO: test_env: for original code input:<!DOCTYPE html><body>Ew</body>:original code output:['Ew', '437\r\n']
11:36:42: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Ew</body>:mutated code output:['Ew', '431\n']
11:36:43: INFO: test_env: for original code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:original code output:['<body><style>nowvwovV5Eg</style>5', '486\r\n']
11:36:43: INFO: test_env: For mutated code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:mutated code output:['<body><style>nowvwovV5Eg</style>5', '480\n']
11:36:44: INFO: test_env: for original code input:<!DOCTYPE html><body>e<br>ZT</body>:original code output:['e<br>ZT', '448\r\n']
11:36:44: INFO: test_env: For mutated code input:<!DOCTYPE html><body>e<br>ZT</body>:mutated code output:['e<br>ZT', '442\n']
11:36:45: INFO: test_env: for original code input:<!DOCTYPE html><body>Ew</body>:original code output:['Ew', '437\r\n']
11:36:45: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Ew</body>:mutated code output:['Ew', '431\n']
11:36:45: INFO: test_env: for original code input:<!DOCTYPE html><body><br>wP</body>:original code output:['<br>wP', '443\r\n']
11:36:45: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>wP</body>:mutated code output:['<br>wP', '437\n']
11:36:47: INFO: test_env: for original code input:<!DOCTYPE html><body>e<br>ZT</body>:original code output:['e<br>ZT', '448\r\n']
11:36:47: INFO: test_env: For mutated code input:<!DOCTYPE html><body>e<br>ZT</body>:mutated code output:['e<br>ZT', '442\n']
11:36:47: INFO: test_env: for original code input:<!DOCTYPE html><body>Ew</body>:original code output:['Ew', '437\r\n']
11:36:47: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Ew</body>:mutated code output:['Ew', '431\n']
11:36:48: INFO: test_env: for original code input:<!DOCTYPE html><body><br>wP</body>:original code output:['<br>wP', '443\r\n']
11:36:48: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>wP</body>:mutated code output:['<br>wP', '437\n']
11:36:48: INFO: test_env: for original code input:<!DOCTYPE html><body><script>4</script><br>w</body>:original code output:['<body><script>4</script><br>w', '484\r\n']
11:36:48: INFO: test_env: For mutated code input:<!DOCTYPE html><body><script>4</script><br>w</body>:mutated code output:['<body><script>4</script><br>w', '478\n']
11:36:50: INFO: test_env: for original code input:<!DOCTYPE html><body>Ew</body>:original code output:['Ew', '437\r\n']
11:36:50: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Ew</body>:mutated code output:['Ew', '431\n']
11:36:51: INFO: test_env: for original code input:<!DOCTYPE html><body><br>wP</body>:original code output:['<br>wP', '443\r\n']
11:36:51: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>wP</body>:mutated code output:['<br>wP', '437\n']
11:36:51: INFO: test_env: for original code input:<!DOCTYPE html><body><script>4</script><br>w</body>:original code output:['<body><script>4</script><br>w', '484\r\n']
11:36:51: INFO: test_env: For mutated code input:<!DOCTYPE html><body><script>4</script><br>w</body>:mutated code output:['<body><script>4</script><br>w', '478\n']
11:36:53: INFO: test_env: for original code input:<!DOCTYPE html><body><br>wP</body>:original code output:['<br>wP', '443\r\n']
11:36:53: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>wP</body>:mutated code output:['<br>wP', '437\n']
11:36:53: INFO: test_env: for original code input:<!DOCTYPE html><body><script>4</script><br>w</body>:original code output:['<body><script>4</script><br>w', '484\r\n']
11:36:53: INFO: test_env: For mutated code input:<!DOCTYPE html><body><script>4</script><br>w</body>:mutated code output:['<body><script>4</script><br>w', '478\n']
11:36:55: INFO: test_env: for original code input:<!DOCTYPE html><body><script>4</script><br>w</body>:original code output:['<body><script>4</script><br>w', '484\r\n']
11:36:55: INFO: test_env: For mutated code input:<!DOCTYPE html><body><script>4</script><br>w</body>:mutated code output:['<body><script>4</script><br>w', '478\n']
11:37:00: INFO: test_env: for original code input:<!DOCTYPE html><body>66</body>:original code output:['66', '437\r\n']
11:37:00: INFO: test_env: For mutated code input:<!DOCTYPE html><body>66</body>:mutated code output:['66', '431\n']
11:37:03: INFO: test_env: for original code input:<!DOCTYPE html><body>66</body>:original code output:['66', '437\r\n']
11:37:03: INFO: test_env: For mutated code input:<!DOCTYPE html><body>66</body>:mutated code output:['66', '431\n']
11:37:03: INFO: test_env: for original code input:<!DOCTYPE html><body><br>r</body>:original code output:['<br>r', '440\r\n']
11:37:03: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>r</body>:mutated code output:['<br>r', '434\n']
11:37:06: INFO: test_env: for original code input:<!DOCTYPE html><body>66</body>:original code output:['66', '437\r\n']
11:37:06: INFO: test_env: For mutated code input:<!DOCTYPE html><body>66</body>:mutated code output:['66', '431\n']
11:37:07: INFO: test_env: for original code input:<!DOCTYPE html><body><br>r</body>:original code output:['<br>r', '440\r\n']
11:37:07: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>r</body>:mutated code output:['<br>r', '434\n']
11:37:07: INFO: test_env: for original code input:<!DOCTYPE html><body>gZe</body>:original code output:['gZe', '437\r\n']
11:37:07: INFO: test_env: For mutated code input:<!DOCTYPE html><body>gZe</body>:mutated code output:['gZe', '431\n']
11:37:09: INFO: test_env: for original code input:<!DOCTYPE html><body>66</body>:original code output:['66', '437\r\n']
11:37:09: INFO: test_env: For mutated code input:<!DOCTYPE html><body>66</body>:mutated code output:['66', '431\n']
11:37:09: INFO: test_env: for original code input:<!DOCTYPE html><body><br>r</body>:original code output:['<br>r', '440\r\n']
11:37:09: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>r</body>:mutated code output:['<br>r', '434\n']
11:37:10: INFO: test_env: for original code input:<!DOCTYPE html><body>vve</body>:original code output:['vve', '437\r\n']
11:37:10: INFO: test_env: For mutated code input:<!DOCTYPE html><body>vve</body>:mutated code output:['vve', '431\n']
11:37:10: INFO: test_env: for original code input:<!DOCTYPE html><body>gZe</body>:original code output:['gZe', '437\r\n']
11:37:10: INFO: test_env: For mutated code input:<!DOCTYPE html><body>gZe</body>:mutated code output:['gZe', '431\n']
11:37:12: INFO: test_env: for original code input:<!DOCTYPE html><body><br>r</body>:original code output:['<br>r', '440\r\n']
11:37:12: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>r</body>:mutated code output:['<br>r', '434\n']
11:37:13: INFO: test_env: for original code input:<!DOCTYPE html><body>gZe</body>:original code output:['gZe', '437\r\n']
11:37:13: INFO: test_env: For mutated code input:<!DOCTYPE html><body>gZe</body>:mutated code output:['gZe', '431\n']
11:37:13: INFO: test_env: for original code input:<!DOCTYPE html><body>vve</body>:original code output:['vve', '437\r\n']
11:37:13: INFO: test_env: For mutated code input:<!DOCTYPE html><body>vve</body>:mutated code output:['vve', '431\n']
11:37:13: INFO: test_env: for original code input:<!DOCTYPE html><body>Pg</body>:original code output:['Pg', '437\r\n']
11:37:13: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Pg</body>:mutated code output:['Pg', '431\n']
11:37:16: INFO: test_env: for original code input:<!DOCTYPE html><body>gZe</body>:original code output:['gZe', '437\r\n']
11:37:16: INFO: test_env: For mutated code input:<!DOCTYPE html><body>gZe</body>:mutated code output:['gZe', '431\n']
11:37:16: INFO: test_env: for original code input:<!DOCTYPE html><body>vve</body>:original code output:['vve', '437\r\n']
11:37:16: INFO: test_env: For mutated code input:<!DOCTYPE html><body>vve</body>:mutated code output:['vve', '431\n']
11:37:16: INFO: test_env: for original code input:<!DOCTYPE html><body>Pg</body>:original code output:['Pg', '437\r\n']
11:37:16: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Pg</body>:mutated code output:['Pg', '431\n']
11:37:17: INFO: test_env: for original code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:original code output:['<body><style>nowvwovV5Eg</style>5', '486\r\n']
11:37:17: INFO: test_env: For mutated code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:mutated code output:['<body><style>nowvwovV5Eg</style>5', '480\n']
11:37:19: INFO: test_env: for original code input:<!DOCTYPE html><body>vve</body>:original code output:['vve', '437\r\n']
11:37:19: INFO: test_env: For mutated code input:<!DOCTYPE html><body>vve</body>:mutated code output:['vve', '431\n']
11:37:19: INFO: test_env: for original code input:<!DOCTYPE html><body>Pg</body>:original code output:['Pg', '437\r\n']
11:37:19: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Pg</body>:mutated code output:['Pg', '431\n']
11:37:19: INFO: test_env: for original code input:<!DOCTYPE html><body>e<br>ZT</body>:original code output:['e<br>ZT', '448\r\n']
11:37:19: INFO: test_env: For mutated code input:<!DOCTYPE html><body>e<br>ZT</body>:mutated code output:['e<br>ZT', '442\n']
11:37:20: INFO: test_env: for original code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:original code output:['<body><style>nowvwovV5Eg</style>5', '486\r\n']
11:37:20: INFO: test_env: For mutated code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:mutated code output:['<body><style>nowvwovV5Eg</style>5', '480\n']
11:37:22: INFO: test_env: for original code input:<!DOCTYPE html><body>Pg</body>:original code output:['Pg', '437\r\n']
11:37:22: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Pg</body>:mutated code output:['Pg', '431\n']
11:37:22: INFO: test_env: for original code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:original code output:['<body><style>nowvwovV5Eg</style>5', '486\r\n']
11:37:22: INFO: test_env: For mutated code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:mutated code output:['<body><style>nowvwovV5Eg</style>5', '480\n']
11:37:22: INFO: test_env: for original code input:<!DOCTYPE html><body>Ew</body>:original code output:['Ew', '437\r\n']
11:37:23: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Ew</body>:mutated code output:['Ew', '431\n']
11:37:23: INFO: test_env: for original code input:<!DOCTYPE html><body>e<br>ZT</body>:original code output:['e<br>ZT', '448\r\n']
11:37:23: INFO: test_env: For mutated code input:<!DOCTYPE html><body>e<br>ZT</body>:mutated code output:['e<br>ZT', '442\n']
11:37:25: INFO: test_env: for original code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:original code output:['<body><style>nowvwovV5Eg</style>5', '486\r\n']
11:37:25: INFO: test_env: For mutated code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:mutated code output:['<body><style>nowvwovV5Eg</style>5', '480\n']
11:37:25: INFO: test_env: for original code input:<!DOCTYPE html><body>e<br>ZT</body>:original code output:['e<br>ZT', '448\r\n']
11:37:25: INFO: test_env: For mutated code input:<!DOCTYPE html><body>e<br>ZT</body>:mutated code output:['e<br>ZT', '442\n']
11:37:26: INFO: test_env: for original code input:<!DOCTYPE html><body><br>wP</body>:original code output:['<br>wP', '443\r\n']
11:37:26: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>wP</body>:mutated code output:['<br>wP', '437\n']
11:37:26: INFO: test_env: for original code input:<!DOCTYPE html><body>Ew</body>:original code output:['Ew', '437\r\n']
11:37:26: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Ew</body>:mutated code output:['Ew', '431\n']
11:37:29: INFO: test_env: for original code input:<!DOCTYPE html><body>e<br>ZT</body>:original code output:['e<br>ZT', '448\r\n']
11:37:29: INFO: test_env: For mutated code input:<!DOCTYPE html><body>e<br>ZT</body>:mutated code output:['e<br>ZT', '442\n']
11:37:29: INFO: test_env: for original code input:<!DOCTYPE html><body>Ew</body>:original code output:['Ew', '437\r\n']
11:37:29: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Ew</body>:mutated code output:['Ew', '431\n']
11:37:30: INFO: test_env: for original code input:<!DOCTYPE html><body><script>4</script><br>w</body>:original code output:['<body><script>4</script><br>w', '484\r\n']
11:37:30: INFO: test_env: For mutated code input:<!DOCTYPE html><body><script>4</script><br>w</body>:mutated code output:['<body><script>4</script><br>w', '478\n']
11:37:30: INFO: test_env: for original code input:<!DOCTYPE html><body><br>wP</body>:original code output:['<br>wP', '443\r\n']
11:37:30: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>wP</body>:mutated code output:['<br>wP', '437\n']
11:37:33: INFO: test_env: for original code input:<!DOCTYPE html><body>Ew</body>:original code output:['Ew', '437\r\n']
11:37:33: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Ew</body>:mutated code output:['Ew', '431\n']
11:37:33: INFO: test_env: for original code input:<!DOCTYPE html><body><br>wP</body>:original code output:['<br>wP', '443\r\n']
11:37:33: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>wP</body>:mutated code output:['<br>wP', '437\n']
11:37:34: INFO: test_env: for original code input:<!DOCTYPE html><body><script>4</script><br>w</body>:original code output:['<body><script>4</script><br>w', '484\r\n']
11:37:34: INFO: test_env: For mutated code input:<!DOCTYPE html><body><script>4</script><br>w</body>:mutated code output:['<body><script>4</script><br>w', '478\n']
11:37:36: INFO: test_env: for original code input:<!DOCTYPE html><body><br>wP</body>:original code output:['<br>wP', '443\r\n']
11:37:36: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>wP</body>:mutated code output:['<br>wP', '437\n']
11:37:37: INFO: test_env: for original code input:<!DOCTYPE html><body><script>4</script><br>w</body>:original code output:['<body><script>4</script><br>w', '484\r\n']
11:37:37: INFO: test_env: For mutated code input:<!DOCTYPE html><body><script>4</script><br>w</body>:mutated code output:['<body><script>4</script><br>w', '478\n']
11:37:39: INFO: test_env: for original code input:<!DOCTYPE html><body><script>4</script><br>w</body>:original code output:['<body><script>4</script><br>w', '484\r\n']
11:37:39: INFO: test_env: For mutated code input:<!DOCTYPE html><body><script>4</script><br>w</body>:mutated code output:['<body><script>4</script><br>w', '478\n']
11:37:46: INFO: test_env: for original code input:<!DOCTYPE html><body>66</body>:original code output:['66', '437\r\n']
11:37:46: INFO: test_env: For mutated code input:<!DOCTYPE html><body>66</body>:mutated code output:['66', '431\n']
11:37:49: INFO: test_env: for original code input:<!DOCTYPE html><body>66</body>:original code output:['66', '437\r\n']
11:37:49: INFO: test_env: For mutated code input:<!DOCTYPE html><body>66</body>:mutated code output:['66', '431\n']
11:37:50: INFO: test_env: for original code input:<!DOCTYPE html><body><br>r</body>:original code output:['<br>r', '440\r\n']
11:37:50: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>r</body>:mutated code output:['<br>r', '434\n']
11:37:53: INFO: test_env: for original code input:<!DOCTYPE html><body>66</body>:original code output:['66', '437\r\n']
11:37:53: INFO: test_env: For mutated code input:<!DOCTYPE html><body>66</body>:mutated code output:['66', '431\n']
11:37:53: INFO: test_env: for original code input:<!DOCTYPE html><body><br>r</body>:original code output:['<br>r', '440\r\n']
11:37:53: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>r</body>:mutated code output:['<br>r', '434\n']
11:37:54: INFO: test_env: for original code input:<!DOCTYPE html><body>gZe</body>:original code output:['gZe', '437\r\n']
11:37:54: INFO: test_env: For mutated code input:<!DOCTYPE html><body>gZe</body>:mutated code output:['gZe', '431\n']
11:37:57: INFO: test_env: for original code input:<!DOCTYPE html><body><br>r</body>:original code output:['<br>r', '440\r\n']
11:37:57: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>r</body>:mutated code output:['<br>r', '434\n']
11:37:57: INFO: test_env: for original code input:<!DOCTYPE html><body>66</body>:original code output:['66', '437\r\n']
11:37:57: INFO: test_env: For mutated code input:<!DOCTYPE html><body>66</body>:mutated code output:['66', '431\n']
11:37:58: INFO: test_env: for original code input:<!DOCTYPE html><body>gZe</body>:original code output:['gZe', '437\r\n']
11:37:58: INFO: test_env: For mutated code input:<!DOCTYPE html><body>gZe</body>:mutated code output:['gZe', '431\n']
11:37:58: INFO: test_env: for original code input:<!DOCTYPE html><body>vve</body>:original code output:['vve', '437\r\n']
11:37:58: INFO: test_env: For mutated code input:<!DOCTYPE html><body>vve</body>:mutated code output:['vve', '431\n']
11:38:01: INFO: test_env: for original code input:<!DOCTYPE html><body>gZe</body>:original code output:['gZe', '437\r\n']
11:38:01: INFO: test_env: For mutated code input:<!DOCTYPE html><body>gZe</body>:mutated code output:['gZe', '431\n']
11:38:01: INFO: test_env: for original code input:<!DOCTYPE html><body><br>r</body>:original code output:['<br>r', '440\r\n']
11:38:01: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>r</body>:mutated code output:['<br>r', '434\n']
11:38:02: INFO: test_env: for original code input:<!DOCTYPE html><body>vve</body>:original code output:['vve', '437\r\n']
11:38:02: INFO: test_env: For mutated code input:<!DOCTYPE html><body>vve</body>:mutated code output:['vve', '431\n']
11:38:03: INFO: test_env: for original code input:<!DOCTYPE html><body>Pg</body>:original code output:['Pg', '437\r\n']
11:38:03: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Pg</body>:mutated code output:['Pg', '431\n']
11:38:06: INFO: test_env: for original code input:<!DOCTYPE html><body>vve</body>:original code output:['vve', '437\r\n']
11:38:06: INFO: test_env: For mutated code input:<!DOCTYPE html><body>vve</body>:mutated code output:['vve', '431\n']
11:38:06: INFO: test_env: for original code input:<!DOCTYPE html><body>gZe</body>:original code output:['gZe', '437\r\n']
11:38:06: INFO: test_env: For mutated code input:<!DOCTYPE html><body>gZe</body>:mutated code output:['gZe', '431\n']
11:38:06: INFO: test_env: for original code input:<!DOCTYPE html><body>Pg</body>:original code output:['Pg', '437\r\n']
11:38:06: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Pg</body>:mutated code output:['Pg', '431\n']
11:38:07: INFO: test_env: for original code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:original code output:['<body><style>nowvwovV5Eg</style>5', '486\r\n']
11:38:07: INFO: test_env: For mutated code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:mutated code output:['<body><style>nowvwovV5Eg</style>5', '480\n']
11:38:10: INFO: test_env: for original code input:<!DOCTYPE html><body>vve</body>:original code output:['vve', '437\r\n']
11:38:10: INFO: test_env: For mutated code input:<!DOCTYPE html><body>vve</body>:mutated code output:['vve', '431\n']
11:38:10: INFO: test_env: for original code input:<!DOCTYPE html><body>Pg</body>:original code output:['Pg', '437\r\n']
11:38:10: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Pg</body>:mutated code output:['Pg', '431\n']
11:38:11: INFO: test_env: for original code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:original code output:['<body><style>nowvwovV5Eg</style>5', '486\r\n']
11:38:11: INFO: test_env: For mutated code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:mutated code output:['<body><style>nowvwovV5Eg</style>5', '480\n']
11:38:11: INFO: test_env: for original code input:<!DOCTYPE html><body>e<br>ZT</body>:original code output:['e<br>ZT', '448\r\n']
11:38:11: INFO: test_env: For mutated code input:<!DOCTYPE html><body>e<br>ZT</body>:mutated code output:['e<br>ZT', '442\n']
11:38:14: INFO: test_env: for original code input:<!DOCTYPE html><body>Pg</body>:original code output:['Pg', '437\r\n']
11:38:14: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Pg</body>:mutated code output:['Pg', '431\n']
11:38:14: INFO: test_env: for original code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:original code output:['<body><style>nowvwovV5Eg</style>5', '486\r\n']
11:38:14: INFO: test_env: For mutated code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:mutated code output:['<body><style>nowvwovV5Eg</style>5', '480\n']
11:38:15: INFO: test_env: for original code input:<!DOCTYPE html><body>e<br>ZT</body>:original code output:['e<br>ZT', '448\r\n']
11:38:15: INFO: test_env: For mutated code input:<!DOCTYPE html><body>e<br>ZT</body>:mutated code output:['e<br>ZT', '442\n']
11:38:16: INFO: test_env: for original code input:<!DOCTYPE html><body>Ew</body>:original code output:['Ew', '437\r\n']
11:38:16: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Ew</body>:mutated code output:['Ew', '431\n']
11:38:19: INFO: test_env: for original code input:<!DOCTYPE html><body>e<br>ZT</body>:original code output:['e<br>ZT', '448\r\n']
11:38:19: INFO: test_env: For mutated code input:<!DOCTYPE html><body>e<br>ZT</body>:mutated code output:['e<br>ZT', '442\n']
11:38:19: INFO: test_env: for original code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:original code output:['<body><style>nowvwovV5Eg</style>5', '486\r\n']
11:38:19: INFO: test_env: For mutated code input:<!DOCTYPE html><body><style>nowvwovV5Eg</style>5</body>:mutated code output:['<body><style>nowvwovV5Eg</style>5', '480\n']
11:38:20: INFO: test_env: for original code input:<!DOCTYPE html><body>Ew</body>:original code output:['Ew', '437\r\n']
11:38:20: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Ew</body>:mutated code output:['Ew', '431\n']
11:38:21: INFO: test_env: for original code input:<!DOCTYPE html><body><br>wP</body>:original code output:['<br>wP', '443\r\n']
11:38:21: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>wP</body>:mutated code output:['<br>wP', '437\n']
11:38:25: INFO: test_env: for original code input:<!DOCTYPE html><body>Ew</body>:original code output:['Ew', '437\r\n']
11:38:25: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Ew</body>:mutated code output:['Ew', '431\n']
11:38:25: INFO: test_env: for original code input:<!DOCTYPE html><body>e<br>ZT</body>:original code output:['e<br>ZT', '448\r\n']
11:38:25: INFO: test_env: For mutated code input:<!DOCTYPE html><body>e<br>ZT</body>:mutated code output:['e<br>ZT', '442\n']
11:38:26: INFO: test_env: for original code input:<!DOCTYPE html><body><br>wP</body>:original code output:['<br>wP', '443\r\n']
11:38:26: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>wP</body>:mutated code output:['<br>wP', '437\n']
11:38:27: INFO: test_env: for original code input:<!DOCTYPE html><body><script>4</script><br>w</body>:original code output:['<body><script>4</script><br>w', '484\r\n']
11:38:27: INFO: test_env: For mutated code input:<!DOCTYPE html><body><script>4</script><br>w</body>:mutated code output:['<body><script>4</script><br>w', '478\n']
11:38:30: INFO: test_env: for original code input:<!DOCTYPE html><body>Ew</body>:original code output:['Ew', '437\r\n']
11:38:30: INFO: test_env: For mutated code input:<!DOCTYPE html><body>Ew</body>:mutated code output:['Ew', '431\n']
11:38:30: INFO: test_env: for original code input:<!DOCTYPE html><body><br>wP</body>:original code output:['<br>wP', '443\r\n']
11:38:30: INFO: test_env: For mutated code input:<!DOCTYPE html><body><br>wP</body>:mutated code output:['<br>wP', '437\n']
